"","x","items","count","total","rnd","customer","age","city","payment_type"
"94",94,"pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate",9,1364,10,"Samy",55,"Alexandria","Credit"
"95",95,"detergent",1,1319,5,"Shimaa",55,"Port Said","Credit"
"96",96,"grapes,photo/film",2,1737,8,"Rania",37,"Dakahlia","Credit"
"97",97,"sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags",9,2213,1,"Farida",22,"Cairo","Credit"
"98",98,"chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent",10,940,6,"Walaa",29,"Cairo","Credit"
"99",99,"whole milk,yogurt,brown bread",3,1072,14,"Magdy",36,"Sohag","Cash"
"100",100,"citrus fruit,tropical fruit",2,813,10,"Samy",55,"Alexandria","Credit"
"101",101,"soda,misc. beverages",2,1324,3,"Ahmed",30,"Giza","Cash"
"102",102,"sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner",9,838,6,"Walaa",29,"Cairo","Credit"
"103",103,"frankfurter,rolls/buns,bottled water",3,878,10,"Samy",55,"Alexandria","Cash"
"104",104,"sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags",10,1695,1,"Farida",22,"Cairo","Credit"
"105",105,"soda",1,2087,4,"Adel",50,"Alexandria","Cash"
"106",106,"rolls/buns,fruit/vegetable juice",2,1025,3,"Ahmed",30,"Giza","Cash"
"107",107,"beef,citrus fruit,berries,root vegetables,brown bread,detergent",6,753,5,"Shimaa",55,"Port Said","Cash"
"108",108,"whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags",7,144,12,"Eman",23,"Aswan","Cash"
"109",109,"processed cheese",1,764,6,"Walaa",29,"Cairo","Cash"
"110",110,"tropical fruit,pip fruit",2,163,12,"Eman",23,"Aswan","Credit"
"111",111,"frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes",10,1334,15,"Sameh",35,"Hurghada","Credit"
"112",112,"packaged fruit/vegetables,bottled water",2,623,7,"Huda",39,"Gharbia","Credit"
"113",113,"whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers",8,1141,15,"Sameh",35,"Hurghada","Cash"
"114",114,"berries,whipped/sour cream",2,2104,15,"Sameh",35,"Hurghada","Cash"
"115",115,"citrus fruit,berries,UHT-milk,processed cheese",4,2162,14,"Magdy",36,"Sohag","Credit"
"116",116,"tropical fruit,whole milk,yogurt",3,578,13,"Sayed",37,"Cairo","Credit"
"117",117,"hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine",6,1928,3,"Ahmed",30,"Giza","Cash"
"118",118,"hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes",7,924,15,"Sameh",35,"Hurghada","Credit"
"119",119,"whole milk,cream cheese ,soda",3,2289,8,"Rania",37,"Dakahlia","Credit"
"120",120,"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags",8,312,2,"Mohamed",25,"Alexandria","Cash"
"121",121,"frankfurter,sausage,long life bakery product,waffles",4,1721,13,"Sayed",37,"Cairo","Cash"
"122",122,"packaged fruit/vegetables,dessert,semi-finished bread,canned beer",4,918,6,"Walaa",29,"Cairo","Cash"
"123",123,"pastry,soda",2,119,6,"Walaa",29,"Cairo","Cash"
"124",124,"other vegetables,red/blush wine",2,554,7,"Huda",39,"Gharbia","Credit"
"125",125,"misc. beverages",1,491,3,"Ahmed",30,"Giza","Cash"
"126",126,"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles",15,577,15,"Sameh",35,"Hurghada","Cash"
"127",127,"sparkling wine",1,320,10,"Samy",55,"Alexandria","Cash"
"128",128,"specialty bar",1,2109,14,"Magdy",36,"Sohag","Credit"
"129",129,"sausage,butter milk,rolls/buns",3,2403,6,"Walaa",29,"Cairo","Cash"
"130",130,"curd cheese",1,717,11,"Hanan",22,"Fayoum","Credit"
"131",131,"frankfurter,dessert",2,1126,4,"Adel",50,"Alexandria","Cash"
"132",132,"whole milk,yogurt,beverages,brown bread,shopping bags",5,1316,6,"Walaa",29,"Cairo","Cash"
"133",133,"newspapers",1,1854,11,"Hanan",22,"Fayoum","Cash"
"134",134,"berries,soda",2,179,9,"Maged",60,"Hurghada","Credit"
"135",135,"curd,flour,liquor (appetizer)",3,1103,7,"Huda",39,"Gharbia","Credit"
"136",136,"tropical fruit,other vegetables,coffee",3,1622,14,"Magdy",36,"Sohag","Credit"
"137",137,"soda",1,892,15,"Sameh",35,"Hurghada","Credit"
"138",138,"rolls/buns,Instant food products",2,321,5,"Shimaa",55,"Port Said","Credit"
"139",139,"canned beer",1,1501,15,"Sameh",35,"Hurghada","Cash"
"140",140,"canned beer",1,111,1,"Farida",22,"Cairo","Credit"
"141",141,"frankfurter,sausage,whole milk,rolls/buns,margarine",5,1479,15,"Sameh",35,"Hurghada","Cash"
"142",142,"other vegetables,misc. beverages,canned beer",3,1797,15,"Sameh",35,"Hurghada","Cash"
"143",143,"whole milk,frozen vegetables",2,1084,3,"Ahmed",30,"Giza","Cash"
"144",144,"whole milk",1,2249,10,"Samy",55,"Alexandria","Credit"
"145",145,"citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers",7,1819,14,"Magdy",36,"Sohag","Cash"
"146",146,"frankfurter,rolls/buns",2,2375,9,"Maged",60,"Hurghada","Cash"
"147",147,"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",10,1379,11,"Hanan",22,"Fayoum","Credit"
"148",148,"butter milk,yogurt,honey,soda,detergent",5,2321,2,"Mohamed",25,"Alexandria","Cash"
"149",149,"hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care",6,2344,9,"Maged",60,"Hurghada","Cash"
"150",150,"pasta,popcorn",2,1290,6,"Walaa",29,"Cairo","Credit"
"151",151,"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags",6,2386,13,"Sayed",37,"Cairo","Cash"
"152",152,"sausage,pork,citrus fruit,dessert,white bread,dishes,candles",7,512,2,"Mohamed",25,"Alexandria","Credit"
"153",153,"rolls/buns",1,1894,13,"Sayed",37,"Cairo","Credit"
"154",154,"grapes,other vegetables,curd,dessert,yogurt,napkins",6,311,1,"Farida",22,"Cairo","Cash"
"155",155,"root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer",9,364,6,"Walaa",29,"Cairo","Cash"
"156",156,"coffee,shopping bags",2,2060,2,"Mohamed",25,"Alexandria","Credit"
"157",157,"popcorn",1,1773,5,"Shimaa",55,"Port Said","Credit"
"158",158,"whole milk,rolls/buns,sugar,bottled water,soda",5,556,3,"Ahmed",30,"Giza","Credit"
"159",159,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products",5,1721,15,"Sameh",35,"Hurghada","Cash"
"160",160,"beef,herbs,flour,cling film/bags,flower soil/fertilizer",5,596,6,"Walaa",29,"Cairo","Cash"
"161",161,"whole milk,butter,dessert,rolls/buns",4,1649,6,"Walaa",29,"Cairo","Credit"
"162",162,"frankfurter,soda,chewing gum",3,1352,10,"Samy",55,"Alexandria","Credit"
"163",163,"tropical fruit,specialty cheese,bottled water",3,488,3,"Ahmed",30,"Giza","Cash"
"164",164,"canned beer",1,1597,14,"Magdy",36,"Sohag","Credit"
"165",165,"finished products,other vegetables,frozen vegetables,bottled beer",4,775,4,"Adel",50,"Alexandria","Credit"
"166",166,"beverages,soda",2,169,6,"Walaa",29,"Cairo","Cash"
"167",167,"hamburger meat,root vegetables,whole milk",3,2172,10,"Samy",55,"Alexandria","Credit"
"168",168,"whole milk,pastry,long life bakery product",3,1163,2,"Mohamed",25,"Alexandria","Credit"
"169",169,"finished products,white wine,shopping bags",3,427,12,"Eman",23,"Aswan","Credit"
"170",170,"other vegetables",1,1983,7,"Huda",39,"Gharbia","Credit"
"171",171,"ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",8,1201,11,"Hanan",22,"Fayoum","Cash"
"172",172,"other vegetables",1,650,6,"Walaa",29,"Cairo","Credit"
"173",173,"curd,butter milk,cocoa drinks,salty snack,popcorn",5,2132,14,"Magdy",36,"Sohag","Credit"
"174",174,"bottled beer",1,280,11,"Hanan",22,"Fayoum","Credit"
"175",175,"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags",8,1873,14,"Magdy",36,"Sohag","Cash"
"176",176,"whole milk,cream cheese ,cereals,dog food",4,2028,8,"Rania",37,"Dakahlia","Credit"
"177",177,"whole milk,salt",2,1838,9,"Maged",60,"Hurghada","Credit"
"178",178,"dessert,ice cream",2,2292,15,"Sameh",35,"Hurghada","Cash"
"179",179,"sausage,soft cheese,coffee",3,183,5,"Shimaa",55,"Port Said","Credit"
"180",180,"other vegetables,bottled water,waffles,dishes,shopping bags",5,2459,3,"Ahmed",30,"Giza","Credit"
"181",181,"ham,whole milk,rolls/buns",3,2307,8,"Rania",37,"Dakahlia","Credit"
"182",182,"other vegetables,ice cream",2,2103,11,"Hanan",22,"Fayoum","Cash"
"183",183,"other vegetables,bottled water",2,2047,9,"Maged",60,"Hurghada","Credit"
"184",184,"soda,bottled beer,white wine,prosecco",4,1922,1,"Farida",22,"Cairo","Credit"
"185",185,"herbs,candy",2,1646,13,"Sayed",37,"Cairo","Credit"
"186",186,"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles",23,555,4,"Adel",50,"Alexandria","Cash"
"187",187,"rolls/buns,canned beer",2,2066,2,"Mohamed",25,"Alexandria","Credit"
"188",188,"curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",7,853,11,"Hanan",22,"Fayoum","Credit"
"189",189,"frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags",6,964,6,"Walaa",29,"Cairo","Cash"
"190",190,"other vegetables",1,564,3,"Ahmed",30,"Giza","Credit"
"191",191,"dog food",1,1183,15,"Sameh",35,"Hurghada","Cash"
"192",192,"specialty bar",1,841,4,"Adel",50,"Alexandria","Cash"
"193",193,"curd,salt,liquor (appetizer),detergent,shopping bags",5,1544,11,"Hanan",22,"Fayoum","Cash"
"194",194,"frankfurter,rolls/buns",2,1352,14,"Magdy",36,"Sohag","Cash"
"195",195,"soda",1,2085,12,"Eman",23,"Aswan","Credit"
"196",196,"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread",7,113,13,"Sayed",37,"Cairo","Credit"
"197",197,"canned beer",1,1120,14,"Magdy",36,"Sohag","Credit"
"198",198,"pork,beef,pip fruit,herbs,spices",5,572,5,"Shimaa",55,"Port Said","Credit"
"199",199,"frankfurter,citrus fruit,UHT-milk,margarine,sugar",5,1343,12,"Eman",23,"Aswan","Credit"
"200",200,"sausage,bottled beer,liquor (appetizer)",3,2461,11,"Hanan",22,"Fayoum","Credit"
"201",201,"canned beer",1,2176,4,"Adel",50,"Alexandria","Credit"
"202",202,"specialty chocolate",1,828,13,"Sayed",37,"Cairo","Cash"
"203",203,"curd,rolls/buns",2,1076,11,"Hanan",22,"Fayoum","Cash"
"204",204,"canned beer",1,1961,11,"Hanan",22,"Fayoum","Credit"
"205",205,"whole milk,bottled water,newspapers",3,265,4,"Adel",50,"Alexandria","Credit"
"206",206,"rolls/buns,chewing gum",2,1901,10,"Samy",55,"Alexandria","Cash"
"207",207,"pork,root vegetables,other vegetables,whole milk,dishes",5,1702,11,"Hanan",22,"Fayoum","Cash"
"208",208,"citrus fruit,pastry",2,613,14,"Magdy",36,"Sohag","Cash"
"209",209,"pot plants",1,876,11,"Hanan",22,"Fayoum","Cash"
"210",210,"rolls/buns,pastry,soda",3,2319,8,"Rania",37,"Dakahlia","Cash"
"211",211,"butter,yogurt,bottled water,soda,make up remover,hygiene articles",6,2178,8,"Rania",37,"Dakahlia","Cash"
"212",212,"condensed milk,sugar,coffee,shopping bags",4,378,5,"Shimaa",55,"Port Said","Cash"
"213",213,"sausage,other vegetables,yogurt,soda,shopping bags",5,1547,2,"Mohamed",25,"Alexandria","Credit"
"214",214,"whole milk,beverages,UHT-milk,soda",4,441,13,"Sayed",37,"Cairo","Cash"
"215",215,"sausage,pork,beef,whole milk,rolls/buns,margarine",6,1790,6,"Walaa",29,"Cairo","Cash"
"216",216,"beverages",1,2209,14,"Magdy",36,"Sohag","Cash"
"217",217,"beverages,specialty bar",2,137,15,"Sameh",35,"Hurghada","Credit"
"218",218,"bottled water,fruit/vegetable juice",2,543,13,"Sayed",37,"Cairo","Credit"
"219",219,"newspapers",1,1378,9,"Maged",60,"Hurghada","Credit"
"220",220,"cleaner,female sanitary products",2,1828,6,"Walaa",29,"Cairo","Credit"
"221",221,"sausage,soda,newspapers,shopping bags",4,1961,1,"Farida",22,"Cairo","Credit"
"222",222,"newspapers",1,1383,5,"Shimaa",55,"Port Said","Cash"
"223",223,"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware",12,1455,10,"Samy",55,"Alexandria","Cash"
"224",224,"misc. beverages,newspapers",2,1857,10,"Samy",55,"Alexandria","Credit"
"225",225,"white wine",1,974,14,"Magdy",36,"Sohag","Credit"
"226",226,"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags",6,1500,2,"Mohamed",25,"Alexandria","Cash"
"227",227,"meat,curd,bottled beer,cake bar",4,639,4,"Adel",50,"Alexandria","Cash"
"228",228,"frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags",8,1588,10,"Samy",55,"Alexandria","Cash"
"229",229,"ice cream,rolls/buns,canned beer",3,1525,10,"Samy",55,"Alexandria","Credit"
"230",230,"canned beer",1,1938,12,"Eman",23,"Aswan","Cash"
"231",231,"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags",6,437,15,"Sameh",35,"Hurghada","Cash"
"232",232,"meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water",12,743,4,"Adel",50,"Alexandria","Credit"
"233",233,"whole milk,mustard,bottled water",3,2326,3,"Ahmed",30,"Giza","Credit"
"234",234,"sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)",8,2404,4,"Adel",50,"Alexandria","Cash"
"235",235,"frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product",9,948,6,"Walaa",29,"Cairo","Credit"
"236",236,"meat,other vegetables,butter,rolls/buns",4,2413,11,"Hanan",22,"Fayoum","Cash"
"237",237,"root vegetables,beverages,Instant food products,pickled vegetables,detergent",5,1349,2,"Mohamed",25,"Alexandria","Credit"
"238",238,"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns",6,529,7,"Huda",39,"Gharbia","Cash"
"239",239,"whole milk,whipped/sour cream,semi-finished bread,margarine",4,183,7,"Huda",39,"Gharbia","Cash"
"240",240,"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins",16,1485,3,"Ahmed",30,"Giza","Cash"
"241",241,"citrus fruit,curd,pastry,margarine,sugar,candy,newspapers",7,2212,12,"Eman",23,"Aswan","Credit"
"242",242,"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins",8,390,9,"Maged",60,"Hurghada","Cash"
"243",243,"citrus fruit,whole milk,rolls/buns",3,1541,2,"Mohamed",25,"Alexandria","Cash"
"244",244,"sausage,oil,hygiene articles,napkins",4,282,13,"Sayed",37,"Cairo","Cash"
"245",245,"frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer",11,1146,7,"Huda",39,"Gharbia","Credit"
"246",246,"hard cheese,rolls/buns,bottled water,newspapers",4,1175,3,"Ahmed",30,"Giza","Cash"
"247",247,"cream cheese ,rolls/buns,soda,chocolate",4,1542,10,"Samy",55,"Alexandria","Cash"
"248",248,"turkey,beef,frozen vegetables,dishes,photo/film",5,577,8,"Rania",37,"Dakahlia","Cash"
"249",249,"pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags",6,620,15,"Sameh",35,"Hurghada","Cash"
"250",250,"whole milk,beverages",2,799,8,"Rania",37,"Dakahlia","Cash"
"251",251,"rolls/buns,soda",2,2494,13,"Sayed",37,"Cairo","Cash"
"252",252,"sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles",9,905,7,"Huda",39,"Gharbia","Credit"
"253",253,"ice cream",1,2186,11,"Hanan",22,"Fayoum","Credit"
"254",254,"liquor",1,1875,13,"Sayed",37,"Cairo","Cash"
"255",255,"pip fruit,other vegetables,fruit/vegetable juice",3,1074,3,"Ahmed",30,"Giza","Credit"
"256",256,"root vegetables,other vegetables,yogurt",3,795,15,"Sameh",35,"Hurghada","Credit"
"257",257,"soda",1,959,6,"Walaa",29,"Cairo","Cash"
"258",258,"soda",1,462,2,"Mohamed",25,"Alexandria","Credit"
"259",259,"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers",11,1361,6,"Walaa",29,"Cairo","Cash"
"260",260,"root vegetables,whole milk,pet care,detergent",4,2260,3,"Ahmed",30,"Giza","Credit"
"261",261,"pork,berries,root vegetables,other vegetables,pastry,specialty bar",6,2139,12,"Eman",23,"Aswan","Credit"
"262",262,"pork",1,1567,10,"Samy",55,"Alexandria","Cash"
"263",263,"chocolate",1,2030,14,"Magdy",36,"Sohag","Cash"
